"id","study","farm","plot","block","crop","type","original_coll_date","year","porewater_no3_mgl","porewater_drp_mgl","month","log_no3","log_drp","factor(type, levels = c(""L"", ""S""))"
133,"NREC-lys","ISU","401","4","F","S",2025-04-21,"2025",81.4,0.08,4,1.91592721169712,0.0334237554869497,"S"
181,"NREC-lys","ISU","401","4","F","S",2025-05-02,"2025",62.4,0.05,5,1.80208925788173,0.0211892990699381,"S"
229,"NREC-lys","ISU","401","4","F","S",2025-05-21,"2025",68,0.05,5,1.83884909073726,0.0211892990699381,"S"
59,"NREC-lys","ISU","105","1","GPC","S",2025-04-03,"2025",9.2,0.05,4,1.00860017176192,0.0211892990699381,"S"
155,"NREC-lys","ISU","105","1","GPC","S",2025-05-02,"2025",14.4,0.05,5,1.18752072083646,0.0211892990699381,"S"
203,"NREC-lys","ISU","105","1","GPC","S",2025-05-21,"2025",3.6,0.06,5,0.662757831681574,0.0253058652647703,"S"
71,"NREC-lys","ISU","206","2","GPC","S",2025-04-03,"2025",28,0.05,4,1.46239799789896,0.0211892990699381,"S"
119,"NREC-lys","ISU","206","2","GPC","S",2025-04-21,"2025",13.7,0.25,4,1.16731733474818,0.0969100130080564,"S"
83,"NREC-lys","ISU","306","3","GPC","S",2025-04-03,"2025",33.5,0.05,4,1.53781909507327,0.0211892990699381,"S"
51,"NREC-lys","ISU","102","1","PCRO","S",2025-04-03,"2025",36,0.05,4,1.56820172406699,0.0211892990699381,"S"
147,"NREC-lys","ISU","102","1","PCRO","S",2025-05-02,"2025",36.8,0.05,5,1.57749179983723,0.0211892990699381,"S"
159,"NREC-lys","ISU","204","2","PCRO","S",2025-05-02,"2025",31,1,5,1.50514997831991,0.301029995663981,"S"
75,"NREC-lys","ISU","304","3","PCRO","S",2025-04-03,"2025",61.4,0.05,4,1.79518458968242,0.0211892990699381,"S"
123,"NREC-lys","ISU","304","3","PCRO","S",2025-04-21,"2025",62,0.05,4,1.79934054945358,0.0211892990699381,"S"
171,"NREC-lys","ISU","304","3","PCRO","S",2025-05-02,"2025",56.6,0.05,5,1.76042248342321,0.0211892990699381,"S"
87,"NREC-lys","ISU","402","4","PCRO","S",2025-04-03,"2025",25.3,0.05,4,1.41995574848976,0.0211892990699381,"S"
135,"NREC-lys","ISU","402","4","PCRO","S",2025-04-21,"2025",18.2,0.05,4,1.28330122870355,0.0211892990699381,"S"
183,"NREC-lys","ISU","402","4","PCRO","S",2025-05-02,"2025",15.6,0.05,5,1.22010808804006,0.0211892990699381,"S"
231,"NREC-lys","ISU","402","4","PCRO","S",2025-05-21,"2025",13.8,0.05,5,1.17026171539496,0.0211892990699381,"S"
53,"NREC-lys","ISU","104","1","WPC","S",2025-04-03,"2025",31.4,0.05,4,1.51054501020661,0.0211892990699381,"S"
